GO_ID	GO_Name	GO_Category	Enrichment	p_uncorrected	p_fdr_bh	Study_Count	Study_Total	Pop_Count	Pop_Total	Study_Genes	Depth
GO:1905606	regulation of presynapse assembly	BP	e	0.006392908339957036	1.0	3	229	26	15541	GPC4,IL1RAPL1,IL1RAPL2	7
GO:1902683	regulation of receptor localization to synapse	BP	e	0.006392908339957036	1.0	3	229	26	15541	GPC4,GRIPAP1,IQSEC2	4
GO:0099174	regulation of presynapse organization	BP	e	0.0071148395359295034	1.0	3	229	27	15541	GPC4,IL1RAPL1,IL1RAPL2	6
GO:0097090	presynaptic membrane organization	BP	e	0.007269375942894949	1.0	2	229	9	15541	IL1RAPL1,NLGN4X	5
GO:0051963	regulation of synapse assembly	BP	e	0.007864751459881667	1.0	7	229	154	15541	ARMCX5-GPRASP2,GPC4,GPRASP3,IL1RAPL1,IL1RAPL2,IQSEC2,NLGN4X	6
GO:0061484	hematopoietic stem cell homeostasis	BP	e	0.007883167166066752	1.0	3	229	28	15541	ARMCX1,ARMCX5-GPRASP2,GPRASP2	4
GO:0007602	phototransduction	BP	e	0.0036127713659760623	1.0	4	229	43	15541	OPN1LW,OPN1MW,OPN1MW2,OPN1MW3	6
GO:0015959	diadenosine polyphosphate metabolic process	BP	e	0.004323731668231931	1.0	2	229	7	15541	NUDT10,NUDT11	8
GO:0032479	regulation of type I interferon production	BP	e	0.004810942988798668	1.0	6	229	106	15541	BTK,DDX3X,IRAK1,OTUD5,POLA1,PQBP1	9
GO:0032467	positive regulation of cytokinesis	BP	e	0.004988129739273199	1.0	4	229	47	15541	OPN1LW,OPN1MW,OPN1MW2,OPN1MW3	7
GO:1902473	regulation of protein localization to synapse	BP	e	0.0050853150396348214	1.0	3	229	24	15541	GPC4,GRIPAP1,IQSEC2	5
GO:0062208	positive regulation of pattern recognition receptor signaling pathway	BP	e	0.005379811486757305	1.0	4	229	48	15541	BTK,DDX3X,GDI1,TASL	8
GO:0001976	nervous system process involved in regulation of systemic arterial blood pressure	BP	e	0.005709163942047395	1.0	2	229	8	15541	AGTR2,MECP2	4
GO:1904515	positive regulation of TORC2 signaling	BP	e	0.005709163942047395	1.0	2	229	8	15541	OTUD5,USP9X	9
GO:1901911	adenosine 5'-(hexahydrogen pentaphosphate) catabolic process	BP	e	0.001272026200449671	1.0	2	229	4	15541	NUDT10,NUDT11	11
GO:1901909	diadenosine hexaphosphate catabolic process	BP	e	0.001272026200449671	1.0	2	229	4	15541	NUDT10,NUDT11	10
GO:0048814	regulation of dendrite morphogenesis	BP	e	0.001493007311125678	1.0	5	229	57	15541	ARMCX5-GPRASP2,GPRASP3,IL1RAPL1,PQBP1,TRPC5	9
