GO_ID	Category
GO:0075342	immunity
GO:0016019	immunity
GO:1900100	immunity
GO:0097647	immunity
GO:2000516	immunity
GO:1990030	immunity
GO:0050689	immunity
GO:0043379	immunity
GO:0035696	immunity
GO:0050729	immunity
GO:0050765	immunity
GO:0033206	immunity
GO:0038094	immunity
GO:0060332	immunity
GO:0070268	immunity
GO:1990814	immunity
GO:0060101	immunity
GO:0051301	immunity
GO:0002450	immunity
GO:0071757	immunity
GO:0032600	immunity
GO:1902237	immunity
GO:0090301	immunity
GO:0030595	immunity
GO:0034241	immunity
GO:0060242	immunity
GO:0046597	immunity
GO:0098542	immunity
GO:0002395	immunity
GO:0045656	immunity
GO:0019815	immunity
GO:0030368	immunity
GO:0032700	immunity
GO:0032745	immunity
GO:0033082	immunity
GO:0044878	immunity
GO:0032691	immunity
GO:0097314	immunity
GO:0032707	immunity
GO:0070757	immunity
GO:0045092	immunity
GO:0045590	immunity
GO:0032059	immunity
GO:0060377	immunity
GO:0005126	immunity
GO:0140367	immunity
GO:0060335	immunity
GO:0002449	immunity
GO:0008303	immunity
GO:0045171	immunity
GO:0036339	immunity
GO:0032645	immunity
GO:0005125	immunity
GO:0043305	immunity
GO:0034057	immunity
GO:0002689	immunity
GO:0038189	immunity
GO:0042267	immunity
GO:0038165	immunity
GO:0060707	immunity
GO:0019064	immunity
GO:2000973	immunity
GO:0051607	immunity
GO:0045839	immunity
GO:0048008	immunity
GO:1990031	immunity
GO:1903595	immunity
GO:0030882	immunity
GO:0034158	immunity
GO:0140888	immunity
GO:0071791	immunity
GO:0140739	immunity
GO:0060715	immunity
GO:0002439	immunity
GO:0002363	immunity
GO:0071756	immunity
GO:0034151	immunity
GO:0002669	immunity
GO:1901166	immunity
GO:2000110	immunity
GO:0010656	immunity
GO:0140632	immunity
GO:2000572	immunity
GO:1990127	immunity
GO:0002730	immunity
GO:0061952	immunity
GO:0034128	immunity
GO:0019731	immunity
GO:1900424	immunity
GO:0045200	immunity
GO:0032682	immunity
GO:0045579	immunity
GO:0070341	immunity
GO:0034144	immunity
GO:0046006	immunity
GO:0110135	immunity
GO:0010762	immunity
GO:0033153	immunity
GO:0002277	immunity
GO:0050829	immunity
GO:1900226	immunity
GO:0043314	immunity
GO:0060741	immunity
GO:0051880	immunity
GO:0140597	immunity
GO:0002479	immunity
GO:0070285	immunity
GO:0042008	immunity
GO:0016505	immunity
GO:0008631	immunity
GO:0046980	immunity
GO:0036145	immunity
GO:0045444	immunity
GO:0030369	immunity
GO:0070671	immunity
GO:0008627	immunity
GO:0030262	immunity
GO:0160074	immunity
GO:0001808	immunity
GO:0070105	immunity
GO:0002468	immunity
GO:0002469	immunity
GO:0033005	immunity
GO:0002590	immunity
GO:0005601	immunity
GO:0009925	immunity
GO:0036398	immunity
GO:0030889	immunity
GO:0019060	immunity
GO:2000521	immunity
GO:0035854	immunity
GO:0033027	immunity
GO:0097527	immunity
GO:0034156	immunity
GO:0032693	immunity
GO:1905312	immunity
GO:0060337	immunity
GO:0048006	immunity
GO:0070352	immunity
GO:0042771	immunity
GO:0008625	immunity
GO:0038043	immunity
GO:0000732	immunity
GO:1903082	immunity
GO:0002253	immunity
GO:1905403	immunity
GO:0004908	immunity
GO:0048144	immunity
GO:0034776	immunity
GO:0048248	immunity
GO:0002455	immunity
GO:0010458	immunity
GO:0002485	immunity
GO:0061737	immunity
GO:0043029	immunity
GO:0048011	immunity
GO:0031726	immunity
GO:0030101	immunity
GO:0035782	immunity
GO:0032735	immunity
GO:0070951	immunity
GO:0034137	immunity
GO:0002399	immunity
GO:0032393	immunity
GO:0002312	immunity
GO:2000672	immunity
GO:0002385	immunity
GO:0019960	immunity
GO:0014841	immunity
GO:0002314	immunity
GO:1990794	immunity
GO:0042129	immunity
GO:2000671	immunity
GO:0001809	immunity
GO:0048534	immunity
GO:0097531	immunity
GO:0001772	immunity
GO:0005642	immunity
GO:2000418	immunity
GO:0030225	immunity
GO:0048145	immunity
GO:0019981	immunity
GO:0002684	immunity
GO:1990231	immunity
GO:0061757	immunity
GO:1900227	immunity
GO:0005940	immunity
GO:0140972	immunity
GO:0032815	immunity
GO:0030851	immunity
GO:0008545	immunity
GO:1905676	immunity
GO:0030261	immunity
GO:0002269	immunity
GO:0002491	immunity
GO:0032651	immunity
GO:0002901	immunity
GO:1900625	immunity
GO:0019958	immunity
GO:0042010	immunity
GO:2001054	immunity
GO:0031264	immunity
GO:0106003	immunity
GO:1902564	immunity
GO:0035580	immunity
GO:0071354	immunity
GO:2001241	immunity
GO:0019766	immunity
GO:0010744	immunity
GO:0097350	immunity
GO:0042110	immunity
GO:0036324	immunity
GO:0007207	immunity
GO:0097400	immunity
GO:0043652	immunity
GO:0002717	immunity
GO:0061081	immunity
GO:0002652	immunity
GO:0038003	immunity
GO:0035702	immunity
GO:1905450	immunity
GO:0097169	immunity
GO:0014895	immunity
GO:0070488	immunity
GO:1900200	immunity
GO:0031209	immunity
GO:0002566	immunity
GO:0043315	immunity
GO:0008063	immunity
GO:0044727	immunity
GO:0002114	immunity
GO:0010666	immunity
GO:0002467	immunity
GO:0046007	immunity
GO:0042116	immunity
GO:1901257	immunity
GO:0050691	immunity
GO:0000281	immunity
GO:0045630	immunity
GO:0072683	immunity
GO:0071387	immunity
GO:0038147	immunity
GO:0016064	immunity
GO:0007214	immunity
GO:0034121	immunity
GO:0016494	immunity
GO:1901251	immunity
GO:0007269	immunity
GO:0008637	immunity
GO:0060755	immunity
GO:0038063	immunity
GO:0071384	immunity
GO:1990117	immunity
GO:0005031	immunity
GO:0004875	immunity
GO:0002282	immunity
GO:0000304	immunity
GO:0043303	immunity
GO:0120117	immunity
GO:0043366	immunity
GO:0001849	immunity
GO:0035579	immunity
GO:0032675	immunity
GO:0071839	immunity
GO:0002327	immunity
GO:0072536	immunity
GO:0002376	immunity
GO:0021957	immunity
GO:0042088	immunity
GO:1990405	immunity
GO:0032943	immunity
GO:0046649	immunity
GO:0002618	immunity
GO:0002726	immunity
GO:0071604	immunity
GO:0002434	immunity
GO:0032825	immunity
GO:0020003	immunity
GO:1901258	immunity
GO:0090023	immunity
GO:0043372	immunity
GO:0002366	immunity
GO:0070666	immunity
GO:0032826	immunity
GO:0045599	immunity
GO:0030073	immunity
GO:0034125	immunity
GO:0002505	immunity
GO:0032715	immunity
GO:0007208	immunity
GO:0060265	immunity
GO:0070668	immunity
GO:0070922	immunity
GO:0002509	immunity
GO:0002708	immunity
GO:0002764	immunity
GO:0043318	immunity
GO:0032690	immunity
GO:0006924	immunity
GO:2000316	immunity
GO:0032692	immunity
GO:0019957	immunity
GO:0035279	immunity
GO:0060057	immunity
GO:0046581	immunity
GO:0048010	immunity
GO:0002711	immunity
GO:0031728	immunity
GO:0034122	immunity
GO:0035711	immunity
GO:0001865	immunity
GO:0032173	immunity
GO:2000561	immunity
GO:0004914	immunity
GO:0038148	immunity
GO:0050778	immunity
GO:0005142	immunity
GO:0045237	immunity
GO:0035723	immunity
GO:0002526	immunity
GO:0002719	immunity
GO:0051615	immunity
GO:0002686	immunity
GO:0038190	immunity
GO:0043308	immunity
GO:0019976	immunity
GO:0042148	immunity
GO:0016338	immunity
GO:0035683	immunity
GO:0032765	immunity
GO:0002727	immunity
GO:0070233	immunity
GO:0042007	immunity
GO:0050672	immunity
GO:2000509	immunity
GO:0006953	immunity
GO:0090027	immunity
GO:0031663	immunity
GO:0007213	immunity
GO:1904606	immunity
GO:0072540	immunity
GO:0070498	immunity
GO:1901029	immunity
GO:0001914	immunity
GO:0019075	immunity
GO:0051412	immunity
GO:0035235	immunity
GO:0010623	immunity
GO:0038026	immunity
GO:0051250	immunity
GO:0002577	immunity
GO:0045342	immunity
GO:0090024	immunity
GO:0002729	immunity
GO:0097342	immunity
GO:1905036	immunity
GO:0042105	immunity
GO:0014034	immunity
GO:2000451	immunity
GO:0035772	immunity
GO:0001790	immunity
GO:0060544	immunity
GO:0035455	immunity
GO:0097136	immunity
GO:0036005	immunity
GO:0140546	immunity
GO:0038159	immunity
GO:0045569	immunity
GO:0090025	immunity
GO:0046469	immunity
GO:0150153	immunity
GO:0045321	immunity
GO:1903237	immunity
GO:0140895	immunity
GO:0048541	immunity
GO:0023026	immunity
GO:1990647	immunity
GO:0035457	immunity
GO:0005134	immunity
GO:0035689	immunity
GO:2000431	immunity
GO:0001836	immunity
GO:0060100	immunity
GO:0035458	immunity
GO:0034164	immunity
GO:0036336	immunity
GO:0002851	immunity
GO:0016340	immunity
GO:0050823	immunity
GO:0038166	immunity
GO:0097021	immunity
GO:0035773	immunity
GO:0048007	immunity
GO:0070075	immunity
GO:0030380	immunity
GO:1903444	immunity
GO:2000676	immunity
GO:0002270	immunity
GO:0042018	immunity
GO:0035666	immunity
GO:0035757	immunity
GO:0071345	immunity
GO:0008228	immunity
GO:0002323	immunity
GO:0043525	immunity
GO:0002250	immunity
GO:1902445	immunity
GO:1904189	immunity
GO:0071654	immunity
GO:0048246	immunity
GO:0008009	immunity
GO:1901028	immunity
GO:0140634	immunity
GO:1904150	immunity
GO:0019763	immunity
GO:0019966	immunity
GO:0021874	immunity
GO:0032480	immunity
GO:0060183	immunity
GO:0035754	immunity
GO:1902206	immunity
GO:0085017	immunity
GO:0060374	immunity
GO:0002824	immunity
GO:0160184	immunity
GO:0032655	immunity
GO:0035710	immunity
GO:2000391	immunity
GO:0070945	immunity
GO:0002263	immunity
GO:0010742	immunity
GO:0002209	immunity
GO:0031729	immunity
GO:0043065	immunity
GO:0050860	immunity
GO:1902173	immunity
GO:0019964	immunity
GO:0090201	immunity
GO:2000670	immunity
GO:0050861	immunity
GO:0002447	immunity
GO:0005035	immunity
GO:0070947	immunity
GO:0036483	immunity
GO:0042742	immunity
GO:0002478	immunity
GO:1900026	immunity
GO:0002470	immunity
GO:0008201	immunity
GO:0010614	immunity
GO:1902251	immunity
GO:0140973	immunity
GO:0002523	immunity
GO:0032705	immunity
GO:0010758	immunity
GO:0035663	immunity
GO:0060545	immunity
GO:0032677	immunity
GO:2000340	immunity
GO:1990595	immunity
GO:0060058	immunity
GO:0002635	immunity
GO:0001779	immunity
GO:0032831	immunity
GO:1900212	immunity
GO:0002541	immunity
GO:0019076	immunity
GO:2000341	immunity
GO:0002679	immunity
GO:0060486	immunity
GO:0002436	immunity
GO:0060375	immunity
GO:0106015	immunity
GO:2000563	immunity
GO:0048143	immunity
GO:1900017	immunity
GO:0072677	immunity
GO:0002687	immunity
GO:1902176	immunity
GO:0005858	immunity
GO:0071639	immunity
GO:2000078	immunity
GO:0098530	immunity
GO:2000510	immunity
GO:0090264	immunity
GO:0036462	immunity
GO:0046725	immunity
GO:0043031	immunity
GO:0098989	immunity
GO:0019221	immunity
GO:0002761	immunity
GO:0035385	immunity
GO:1903660	immunity
GO:0007229	immunity
GO:0140582	immunity
GO:0002774	immunity
GO:1902108	immunity
GO:0060623	immunity
GO:0030895	immunity
GO:0044650	immunity
GO:0002420	immunity
GO:0002460	immunity
GO:0045623	immunity
GO:0002158	immunity
GO:0050870	immunity
GO:1990144	immunity
GO:0033087	immunity
GO:0002897	immunity
GO:0030888	immunity
GO:0070269	immunity
GO:0001912	immunity
GO:0002683	immunity
GO:0034157	immunity
GO:0032712	immunity
GO:0062081	immunity
GO:0033028	immunity
GO:0071887	immunity
GO:0140865	immunity
GO:0006271	immunity
GO:0002553	immunity
GO:0001891	immunity
GO:0002344	immunity
GO:0050859	immunity
GO:0046968	immunity
GO:0002149	immunity
GO:0030224	immunity
GO:0034340	immunity
GO:0003147	immunity
GO:0051042	immunity
GO:0002540	immunity
GO:0032829	immunity
GO:0002706	immunity
GO:0070765	immunity
GO:1901145	immunity
GO:0032729	immunity
GO:1903236	immunity
GO:2000107	immunity
GO:0004919	immunity
GO:0005634	immunity
GO:0002870	immunity
GO:1990661	immunity
GO:0045953	immunity
GO:0070664	immunity
GO:0150061	immunity
GO:0045066	immunity
GO:0007400	immunity
GO:0042608	immunity
GO:1904188	immunity
GO:0046817	immunity
GO:0038092	immunity
GO:0002720	immunity
GO:0002902	immunity
GO:0002302	immunity
GO:0001649	immunity
GO:0007179	immunity
GO:0071593	immunity
GO:0002292	immunity
GO:0042287	immunity
GO:0002882	immunity
GO:1904998	immunity
GO:0097022	immunity
GO:0051525	immunity
GO:0043062	immunity
GO:0098990	immunity
GO:0030223	immunity
GO:2000536	immunity
GO:0035718	immunity
GO:0097284	immunity
GO:0045236	immunity
GO:0042012	immunity
GO:0002387	immunity
GO:0045591	immunity
GO:0046635	immunity
GO:0032002	immunity
GO:0070100	immunity
GO:0042104	immunity
GO:2000556	immunity
GO:0071386	immunity
GO:0071751	immunity
GO:1905451	immunity
GO:0002508	immunity
GO:2001055	immunity
GO:0005136	immunity
GO:1901026	immunity
GO:0002536	immunity
GO:2001239	immunity
GO:0038097	immunity
GO:0070667	immunity
GO:0046979	immunity
GO:0005151	immunity
GO:0061574	immunity
GO:0004877	immunity
GO:0097192	immunity
GO:0090199	immunity
GO:0006955	immunity
GO:0002364	immunity
GO:1900225	immunity
GO:2000271	immunity
GO:0002625	immunity
GO:1903490	immunity
GO:1990664	immunity
GO:0043121	immunity
GO:0006952	immunity
GO:1902565	immunity
GO:0045446	immunity
GO:0006968	immunity
GO:0005135	immunity
GO:0033371	immunity
GO:0097323	immunity
GO:0034163	immunity
GO:0032743	immunity
GO:0097194	immunity
GO:0001791	immunity
GO:0003275	immunity
GO:0045190	immunity
GO:1902215	immunity
GO:0090335	immunity
GO:0038066	immunity
GO:0016446	immunity
GO:0031730	immunity
GO:0006273	immunity
GO:0005133	immunity
GO:0034146	immunity
GO:0005152	immunity
GO:0036463	immunity
GO:2000317	immunity
GO:0002920	immunity
GO:2000502	immunity
GO:2000535	immunity
GO:0033092	immunity
GO:0032753	immunity
GO:2000548	immunity
GO:0120042	immunity
GO:0045578	immunity
GO:2001190	immunity
GO:0097536	immunity
GO:1904598	immunity
GO:1902263	immunity
GO:0001532	immunity
GO:0045577	immunity
GO:0046645	immunity
GO:1901383	immunity
GO:1904649	immunity
GO:0098670	immunity
GO:2000438	immunity
GO:0090717	immunity
GO:0019083	immunity
GO:0002842	immunity
GO:0031724	immunity
GO:0016032	immunity
GO:0002283	immunity
GO:0002285	immunity
GO:0043654	immunity
GO:1902238	immunity
GO:0002476	immunity
GO:0060334	immunity
GO:2000439	immunity
GO:1903661	immunity
GO:0038123	immunity
GO:0002575	immunity
GO:0043514	immunity
GO:0036179	immunity
GO:0005520	immunity
GO:0002246	immunity
GO:0030509	immunity
GO:0140105	immunity
GO:2000508	immunity
GO:0062080	immunity
GO:0034136	immunity
GO:0001869	immunity
GO:0045957	immunity
GO:0035491	immunity
GO:0071707	immunity
GO:0039537	immunity
GO:0061470	immunity
GO:1903037	immunity
GO:2000659	immunity
GO:0001798	immunity
GO:1905517	immunity
GO:0038162	immunity
GO:0004920	immunity
GO:0001855	immunity
GO:0001970	immunity
GO:0002674	immunity
GO:0002172	immunity
GO:0050830	immunity
GO:0001812	immunity
GO:0005174	immunity
GO:0002677	immunity
GO:1903904	immunity
GO:0140738	immunity
GO:0150129	immunity
GO:0016447	immunity
GO:1903882	immunity
GO:0042700	immunity
GO:0003308	immunity
GO:0019767	immunity
GO:0035456	immunity
GO:0070358	immunity
GO:0001774	immunity
GO:0060753	immunity
GO:0035855	immunity
GO:0007212	immunity
GO:0038195	immunity
GO:0043306	immunity
GO:0002639	immunity
GO:0002521	immunity
GO:0048861	immunity
GO:0004918	immunity
GO:0005141	immunity
GO:0002502	immunity
GO:2001189	immunity
GO:0051932	immunity
GO:0019732	immunity
GO:0071882	immunity
GO:0002415	immunity
GO:1990262	immunity
GO:2000452	immunity
GO:0060853	immunity
GO:0033031	immunity
GO:0071748	immunity
GO:0070098	immunity
GO:0097324	immunity
GO:0045065	immunity
GO:0045513	immunity
GO:0002276	immunity
GO:2001193	immunity
GO:0033033	immunity
GO:0070237	immunity
GO:0071866	immunity
GO:0050776	immunity
GO:1902563	immunity
GO:0032010	immunity
GO:0033677	immunity
GO:0002841	immunity
GO:0002328	immunity
GO:0001923	immunity
GO:0038093	immunity
GO:0033004	immunity
GO:0016442	immunity
GO:0002232	immunity
GO:0090594	immunity
GO:0045954	immunity
GO:0050862	immunity
GO:0005132	immunity
GO:0046588	immunity
GO:0043373	immunity
GO:0150078	immunity
GO:2000515	immunity
GO:0045650	immunity
