GO_ID	Category
GO:0021884	development
GO:0021703	development
GO:0070309	development
GO:0003335	development
GO:0071910	development
GO:0030850	development
GO:0003360	development
GO:0002194	development
GO:0072162	development
GO:2000321	development
GO:0003007	development
GO:0035844	development
GO:0002763	development
GO:0061197	development
GO:0003223	development
GO:0021773	development
GO:0055015	development
GO:0043379	development
GO:1905458	development
GO:0035632	development
GO:0048732	development
GO:0045652	development
GO:0060740	development
GO:0021891	development
GO:0061444	development
GO:0048368	development
GO:0051094	development
GO:0072148	development
GO:0048634	development
GO:0046638	development
GO:0019841	development
GO:0090104	development
GO:0062094	development
GO:0035990	development
GO:0060741	development
GO:2000020	development
GO:0021999	development
GO:0007517	development
GO:0072144	development
GO:1901251	development
GO:0035663	development
GO:0043363	development
GO:0061156	development
GO:0060876	development
GO:0001823	development
GO:0021630	development
GO:0046632	development
GO:0097101	development
GO:1902748	development
GO:0007519	development
GO:0021743	development
GO:0051150	development
GO:0007512	development
GO:0003358	development
GO:0060117	development
GO:0090596	development
GO:0007286	development
GO:0021559	development
GO:0035675	development
GO:0010092	development
GO:0014031	development
GO:0042659	development
GO:0045616	development
GO:0010623	development
GO:1904414	development
GO:2001076	development
GO:2000975	development
GO:0061515	development
GO:0021915	development
GO:0060042	development
GO:0097154	development
GO:2000381	development
GO:0016322	development
GO:0055008	development
GO:0002334	development
GO:0009826	development
GO:0021686	development
GO:1900218	development
GO:0007389	development
GO:0002305	development
GO:0048562	development
GO:0061299	development
GO:0021546	development
GO:1902038	development
GO:0035054	development
GO:0048486	development
GO:0045646	development
GO:0046549	development
GO:1901532	development
GO:0030323	development
GO:0007498	development
GO:0061038	development
GO:0060438	development
GO:0008584	development
GO:0072262	development
GO:0060913	development
GO:0021524	development
GO:0003401	development
GO:0008356	development
GO:0035325	development
GO:0002072	development
GO:0060350	development
GO:0048934	development
GO:0046639	development
GO:0060217	development
GO:0002316	development
GO:0021543	development
GO:0030852	development
GO:1902870	development
GO:0046661	development
GO:0001570	development
GO:0060613	development
GO:0021960	development
GO:0014005	development
GO:0003214	development
GO:0021796	development
GO:0048638	development
GO:0060221	development
GO:0060458	development
GO:0045600	development
GO:0090193	development
GO:0048755	development
GO:0060436	development
GO:0030902	development
GO:2000138	development
GO:0060014	development
GO:0021659	development
GO:0060514	development
GO:0061185	development
GO:0021521	development
GO:0002063	development
GO:0060032	development
GO:0001555	development
GO:1902691	development
GO:0061154	development
GO:0097094	development
GO:0035801	development
GO:0007290	development
GO:2000394	development
GO:0005020	development
GO:0072534	development
GO:0003158	development
GO:0016358	development
GO:0021722	development
GO:0007418	development
GO:0003192	development
GO:0010884	development
GO:0070368	development
GO:1904238	development
GO:1901862	development
GO:0097681	development
GO:0055013	development
GO:0072170	development
GO:0010720	development
GO:0060596	development
GO:0033082	development
GO:0072560	development
GO:0030010	development
GO:0070828	development
GO:0048711	development
GO:0021988	development
GO:0001947	development
GO:0045578	development
GO:0002314	development
GO:0007275	development
GO:0014812	development
GO:0002331	development
GO:0022037	development
GO:0060748	development
GO:0001656	development
GO:0072166	development
GO:0044663	development
GO:0060712	development
GO:0120202	development
GO:0030901	development
GO:0048611	development
GO:2001204	development
GO:0002315	development
GO:0048710	development
GO:0002067	development
GO:0045624	development
GO:0070365	development
GO:0060272	development
GO:0035315	development
GO:0030856	development
GO:0060461	development
GO:0072179	development
GO:0030225	development
GO:0022604	development
GO:0160093	development
GO:0070169	development
GO:0060979	development
GO:0003281	development
GO:0046546	development
GO:0014033	development
GO:0060364	development
GO:0007442	development
GO:0045198	development
GO:0035880	development
GO:0039008	development
GO:0035262	development
GO:0060157	development
GO:0061104	development
GO:0048588	development
GO:0010888	development
GO:0060020	development
GO:0010454	development
GO:0009956	development
GO:0045657	development
GO:0007518	development
GO:0035162	development
GO:0042551	development
GO:0061311	development
GO:0021986	development
GO:0035129	development
GO:0071391	development
GO:0045637	development
